ID_evenement,Systeme,Parcelle,Annee,Date,Product,Categorie,N_total_kgNha,TAN_kgNha,Methode_application,Incorporation,Delai_incorp_h,frac_N_NH4,frac_N_ureique,frac_N_NO3,MS_pct,pH_produit,pH_sol,CaCO3_gkg,CIC_cmolkg,Clay,Lime,Sand,Corg_gkg,Humidite_sol,Densite_gcm3,Temp_air_C,Vent_ms,Precip_mm,Intensite_pluie_promedio_mmh,HR_pct,Rayonnement,NH3_emis_kgNha,NH3_emis_pctTAN,Inhibiteur_co_applique,Type_inhibiteur,Statut_qualite,NH3_emis_kgNha_EMEP,N_applied_kgNha,calc_note,NH3_emis_kgNha_base
115,LI,B5,2024,2024-03-25,Solution 39,Solution azotée (UAN),39.0,,Application liquide minérale,Non,,,,,,,7.7,3.0,12.9,20.3,71.6,8.1,15.9,20.5,1.32,7.6,2.7,0.5,,71,,5.171,,Non,,,5.1714,39.0,mineral,5.1714
116,LI,B5,2024,2024-05-03,EPSO Top,Additif,,,,Non,,,,,,,7.7,3.0,12.9,20.3,71.6,8.1,15.9,20.5,1.32,11.2,2.6,0.5,,77,,0.0,,Non,,,0.0,0.0,non-N (excluded),0.0
117,LI,B5,2024,2024-10-04,BlueN,Oligo/biostimulant,,,Application liquide minérale,Non,,,,,,,7.7,3.0,12.9,20.3,71.6,8.1,15.9,20.5,1.32,9.9,1.1,0.5,,80,,0.0,,Non,,,0.0,0.0,non-N (excluded),0.0
118,LI,B5,2025,2025-02-25,Solution 39 + Thiosulfate,Solution azotée (UAN),90.0,,Application liquide minérale,Non,,,,,,,7.7,3.0,12.9,20.3,71.6,8.1,15.9,20.5,1.32,7.7,3.4,12.5,,91,,11.933,,Non,,,11.934,90.0,mineral,11.934
119,LI,B5,2025,2025-02-25,Solution 39,Solution azotée (UAN),57.0,,Application liquide minérale,Non,,,,,,,7.7,3.0,12.9,20.3,71.6,8.1,15.9,20.5,1.32,7.7,3.4,12.5,,91,,7.558,,Non,,,7.558199999999999,57.0,mineral,7.558199999999999
120,LI,B5,2025,2025-03-19,Bore,Oligo/biostimulant,,,,Non,,,,,,,7.7,3.0,12.9,20.3,71.6,8.1,15.9,20.5,1.32,11.1,2.0,0.0,,61,,0.0,,Non,,,0.0,0.0,non-N (excluded),0.0
125,OF,B6,2023,2023-02-15,Organic_fertilizer,Autre organique,37.0,0.0,Épandage solide minéral,Oui,,,,,,7.0,7.8,5.0,11.5,20.3,71.6,8.1,15.0,21.3,1.27,7.0,1.1,0.0,,76,,0.0,68.0,Non,,TAN=0 estimé fiche (N total = N organique → 0 N ammoniacal),0.0,37.0,organic,0.0
143,LOM,B7,2022,2022-09-15,Lisier 3u,Lisier,105.0,36.2355,Pendillard,Oui,,,,,6.5,7.6,7.5,0.5,13.4,20.3,71.6,8.1,12.9,21.3,1.25,17.4,2.4,0.0,,71,,19.93,55.0,Non,,,19.929525,105.0,organic,19.929525
144,LOM,B7,2023,2023-03-06,Solution 39,Solution azotée (UAN),60.0,,Application liquide minérale,Non,,,,,,,7.5,0.5,13.4,20.3,71.6,8.1,12.9,21.3,1.25,4.6,2.7,0.0,,75,,7.955,,Non,,,7.9559999999999995,60.0,mineral,7.9559999999999995
145,LOM,B7,2023,2023-03-06,Thiosulfate 13N - 64S,Thiosulfate,10.0,,Application liquide minérale,Non,,,,,,,7.5,0.5,13.4,20.3,71.6,8.1,12.9,21.3,1.25,4.6,2.7,0.0,,75,,1.54,,Non,,,1.54,10.0,mineral,1.54
146,LOM,B7,2023,2023-04-22,Solution 39,Solution azotée (UAN),29.0,,Application liquide minérale,Non,,,,,,,7.5,0.5,13.4,20.3,71.6,8.1,12.9,21.3,1.25,10.5,2.2,4.0,,78,,3.845,,Non,,,3.8453999999999997,29.0,mineral,3.8453999999999997
147,LOM,B7,2024,2024-02-21,Solution 39,Solution azotée (UAN),39.0,,Application liquide minérale,Non,,,,,,,7.5,0.5,13.4,20.3,71.6,8.1,12.9,21.3,1.25,8.8,4.7,11.0,,90,,5.171,,Non,,,5.1714,39.0,mineral,5.1714
148,LOM,B7,2024,2024-04-19,Lisier 2u,Lisier,121.0,49.36799999999999,Pendillard,Oui,,,,,2.3,8.6,7.5,0.5,13.4,20.3,71.6,8.1,12.9,21.3,1.25,8.7,3.3,2.5,,85,,27.152,55.0,Non,,,27.152399999999997,121.0,organic,27.152399999999997
149,LOM,B7,2024,2024-05-31,Ammonitrate 24,Ammonitrate,27.0,14.04,Épandage solide minéral,Non,,,,,,,7.5,0.5,13.4,20.3,71.6,8.1,12.9,21.3,1.25,12.8,2.8,8.0,,91,,1.156,,Non,,,1.1556,27.0,mineral,1.1556
150,LOM,B7,2025,2025-04-02,Digestat liquide 5u,Digestat liquide,135.0,54.4725,Pendillard,Non,,,,,7.4,8.1,7.5,0.5,13.4,20.3,71.6,8.1,12.9,21.3,1.25,11.1,3.7,0.0,,58,,29.96,55.0,Non,,,29.959875,135.0,organic,29.959875
151,LOM,B7,2025,2025-07-04,Digestat liquide 4u,Digestat liquide,123.0,62.69310000000001,Épandage en surface,Non,,,,,9.5,8.1,7.5,0.5,13.4,20.3,71.6,8.1,12.9,21.3,1.25,19.8,1.3,0.0,,49,,34.481,55.0,Oui,à déterminer (uréase/nitrification),,34.48120500000001,123.0,organic,34.48120500000001
152,LOM,B7,2025,2025-07-04,Autre (inhibiteur),Additif,0.0,0.0,Épandage en surface,Non,,,,,,,7.5,0.5,13.4,20.3,71.6,8.1,12.9,21.3,1.25,19.8,1.3,0.0,,49,,0.0,,Non,,"Inhibiteur (sans N) — non-émetteur, exclure du calcul EMEP",0.0,0.0,non-N (excluded),0.0
